Date,Closing_Price,Highest_Price_Of_the_Day,Lowest_Price_Of_The_Day,Opening_Price_Of_The_Day,Volume_Sold
11-06-2014,4.014054775,4.028226182,3.939654805,4.010511839,25800
12-06-2014,4.0742836,4.104397883,4.006969498,4.031769377,91600
13-06-2014,4.0707407,4.095540917,3.960912374,4.081369509,33000
16-06-2014,4.24788332,4.251426256,4.017597866,4.017597866,88200
17-06-2014,4.106169224,4.247883296,3.914855057,4.247883296,101200
18-06-2014,4.244339943,4.251425815,4.060111667,4.223083003,64000
19-06-2014,4.24788332,4.24788332,4.074283495,4.205369098,72000
20-06-2014,3.851083517,4.24079772,3.723540853,4.038854746,256600
23-06-2014,4.067196846,4.109711398,3.89713999,4.017597099,50600
24-06-2014,3.950283527,4.074283598,3.93611212,4.067197725,47600
25-06-2014,3.985711813,4.045940374,3.985711813,4.024683096,21000
26-06-2014,4.035312653,4.056569597,3.900684099,4.006969835,17200
27-06-2014,3.939654827,4.049483484,3.939654827,3.992797856,34600
30-06-2014,3.953826189,4.045940502,3.900683498,4.045940502,21000
01-07-2014,4.042397499,4.049483371,3.907768969,3.907768969,25200
02-07-2014,4.145140648,4.226626496,3.99244367,4.04948373,124200
03-07-2014,4.138054848,4.180569068,4.077826284,4.180569068,3200
07-07-2014,4.262053967,4.265596902,4.162854133,4.162854133,450200
08-07-2014,4.205368996,4.254969089,4.166397711,4.254969089,35600
09-07-2014,4.251424789,4.265596192,4.19473918,4.265596192,120600
10-07-2014,4.24788332,4.265597663,4.214226439,4.265597663,50800
11-07-2014,4.262053967,4.262053967,4.223082688,4.262053967,9800
14-07-2014,4.262053967,4.265596902,4.194739878,4.265596902,56000
15-07-2014,4.24079752,4.265597397,4.219540241,4.265597397,42800
16-07-2014,4.233712196,4.265597949,4.233712196,4.259929454,36800
17-07-2014,4.233712196,4.265597949,4.233712196,4.254969478,47200
18-07-2014,4.265597343,4.265597343,4.251425937,4.262054407,21000
21-07-2014,4.233712196,4.262055013,4.14514081,4.215997852,9000
22-07-2014,4.166396141,4.265595953,4.138053338,4.201824476,20600
23-07-2014,4.152226448,4.226626422,4.120340697,4.120340697,16200
